number;disciplines_id;avgMark
556;1065;4.172
557;1069;4.125
558;1071;3.333
559;1073;4.308
560;1074;4.813
561;1078;3.909
562;1079;4.258
563;1082;4.952
564;1085;4.958
565;1090;4.074
566;1091;4.412
567;1093;4.321
568;1094;4.833
569;1095;4.364
570;1096;4.538
571;1097;4.357
572;1098;4.233
573;1101;4.563
574;1102;4.226
575;1103;3.856
576;1104;3.467
577;1106;4.792
578;1108;4.556
579;1113;3.833
580;1114;4.103
581;1115;3.692
582;1116;4.778
583;1117;5
584;1118;4.326
585;1119;4.421
586;1123;4.8
587;1126;4.438
588;1127;4.517
589;1128;4
590;1129;4.216
591;1130;4.385
592;1133;2.286
593;1136;4.292
594;1141;4.383
595;1142;4.452
596;1144;3.263
597;1145;4
598;1146;3.676
599;1147;3.636
600;1149;4.436
601;1152;4.2
602;1158;3.647
603;1159;3.625
604;1160;3.75
605;1161;4.167
606;1165;4.517
607;1166;4.833
608;1169;5
609;1170;3.808
610;1174;4.487
611;1176;4
612;1177;4.253
613;1179;4.806
614;1180;4.093
615;1181;3.247
616;1183;4.444
617;1186;4.875
618;1188;4.429
619;1192;4.353
620;1197;4.222
621;1204;4.578
622;1208;3.345
623;1213;4.5
624;1214;4.333
625;1219;3
626;1221;3.811
627;1222;2.744
628;1223;2.455
629;1224;4.793
630;1226;4.533
631;1227;3.71
632;1234;4.19
633;1235;3.938
634;1239;4.641
635;1241;4.606
636;1242;4.917
637;1243;4.234
638;1244;4.6
639;1246;4.7
640;1251;4.3
641;1252;4.2
642;1254;3.914
643;1256;3.98
644;1259;3.939
645;1262;3.216
646;1264;4.867
647;1266;4.261
648;1267;4.222
649;1270;3.615
650;1273;3.313
651;1274;4.118
652;1276;3.294
653;1278;3.55
654;1281;3.615
655;1283;4.389
656;1284;3.934
657;1285;4.097
658;1286;3.333
659;1289;4.067
660;1290;3.905
661;1291;4.733
662;1294;4.333
663;1298;4.175
664;1299;3.82
665;1304;4.308
666;1305;4.674
667;1306;4.206
668;1307;3.818
669;1308;4
670;1311;2.964
671;1312;4.384
672;1313;4.25
673;1314;4.231
674;1316;3.573
675;1321;4.938
676;1322;4.261
677;1323;3.83
678;1324;4.677
679;1325;4.377
680;1326;4.065
681;1327;2.929
682;1328;4.5
683;1329;3.257
684;1330;3.941
685;1336;4.4
686;1337;4.111
687;1338;4.508
