number;name;avgMark
278;Операционные системы;3.813
279;Интегральное исчисление;2.925
280;Начертательная геометрия и инженерная графика 1.2;3.507
281;Ноксология;2
282;Надежность технических систем;4.106
283;Дискретная математика;3.785
284;Научно-исследовательская работа в семестре;2.047
285;Педагогическая практика;2.069
286;Современный менеджмент;4.45
287;Методы обработки результатов измерений;2
288;Технологии программирования;2.765
289;Физико-химические основы разработки и производства композиционных материалов;3.25
290;Магниторазведка;3.75
291;Математические основы теории систем;3.526
292;Электродинамика;4
293;Теория функции комплексного переменного;3.333
294;Теория антикризисного управления предприятием;4
295;Машины и оборудование газонефтепроводов;2.667
296;Основы компьютерных технологий решения геологических задач;4
297;Управление персоналом и организационное поведение;2
298;Численные методы;3.455
299;Математические методы в инженерии;3.569
300;Теория измерений;3.5
301;Алгоритмы и структуры данных;4.38
302;Физика твердого тела;3
303;Организация ЭВМ;4.095
304;Структурная геология и геокартирование;3
305;Физика ядерных реакторов;3.141
306;Физика горных пород (петрофизика);3
307;Расчет и проектирование систем обеспечения безопасности;4.69
308;Теоретическая физика;3.429
309;Инженерно-гидрометеорологические изыскания;4.6
310;Инженерно-экологические изыскания;4.6
311;Сейсморазведка;4.118
312;Программирование на языке высокого уровня;4
313;Конфликтология;2
314;Управление качеством;4.182
315;Физические основы измерений и эталоны;4
316;Информационно-компьютерные технологии в управлении;2
317;Материаловедение. Технология конструкционных материалов;3
318;Основы социального государства;2
319;Менеджмент в туристской индустрии;2
320;Организация предпринимательской деятельности;2
321;Основы теории управления;2.667
322;Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;4.345
323;Инженерное предпринимательство;2
324;Минералогия и геохимия;2
325;Дополнительные главы математики;3.744
326;Компьютерные, сетевые и информационные технологии;3.719
327;Философские и методологические проблемы науки и техники;4.482
328;Документирование управленческой деятельности;2
329;Турбомашины АЭС;3.692
330;Математика 3.2;3.586
331;Библиотечно-библиографическое ориентирование;2
332;Материаловедение;3.713
333;Электронная и микропроцессорная техника;2.333
334;Практикум по культуре речевого общения на втором иностранном языке (французский);2
335;Основы проектирования приборов и систем;2.667
336;Теория машин и механизмов;3.05
337;Методы оптимальных решений;4.25
338;Профессиональные компетенции преподавателя инженерного вуза;2
339;Математика 2.2;3.506
340;Экономический анализ;2
341;Интегральные уравнения и вариационное исчисление;3.98
342;Телеконтроль и телеуправление;2
343;Ядерная физика;4.138
344;Электрофизические установки и ускорители;2
345;Прикладная механика;2.563
346;Технология разработки программного обеспечения;4.086
347;Психология;2.038
348;Статистика;3.653
349;Метрология, стандартизация, сертификация, изобретательская деятельность;2
350;Химия урана, плутония, тория и редких элементов;2
351;Технология и организация строительства магистральных нефтегазопроводов;4
352;Методы и средства неразрушающего контроля трубопроводов;5
353;Лексикология;3
354;Математическое моделирование организационных и экономических систем;2
355;Устный последовательный перевод;2
356;Вариационное исчисление;5
357;Математические модели сложных систем;4.889
358;Электроника 1.2;3.633
359;Стилистика;3
360;Иностранный язык для академической мобильности (английский, ЭТО);3.978
361;Организация и управление производством (основы менеджмента);2.5
362;Эксплуатация и ремонт оборудования нефтеперекачивающих станций;4
363;Теория переноса нейтронов;3.758
364;Физика 2.2;3.664
365;Линейная алгебра и аналитическая геометрия 1.3;3.482
366;Математический анализ 1.3;3.374
367;Математика 4 (ЭТО);4.106
368;Микропроцессорные средства и системы;4.297
369;Введение в информационные технологии;3.574
370;Надежность информационных систем;3
371;Химия 1.1;3.427
372;Современные энергетические технологии;4.471
373;Энергосбережение и энергоаудит предприятия;3.904
374;Введение в ядерную физику;4.22
375;Современные проблемы электроэнергетики;2
376;Современные технологии проектирования объектов электроэнергетических систем;4.065
377;Теплофизика;4.171
378;Детали машин и основы проектирования;3
379;Профессиональная подготовка на английском языке;2.133
380;Химия нефти и газа;3.328
381;Процессы и аппараты химической технологии;3.945
382;Основы геодезии и топографии;2.524
383;Экономика и организация технического сервиса;2
384;Информационные сети;3.5
385;Математическое моделирование в задачах нефтегазовой отрасли. Методы математической физики;4.022
386;Ценные бумаги;3.357
