number;name;avgMark
1325;История и методология прикладной математики и информатики;3.625
1326;Технология получения наноструктурных и наноразмерных материалов;2
1327;Геология полезных ископаемых;2
1328;Геологическое картирование;3.684
1329;Статистические методы обработки данных;4.6
1330;Элементы устройств автоматики энергосистем;2
1331;Электромагнитная совместимость высоковольтной техники;4.077
1332;Спецглавы физики;3.314
1333;Комплексная автоматизация технологических процессов;4
1334;Системы управления силовыми преобразователями;4.385
1335;Преподаватель высшей школы Часть 1: практическая педагогика;2
1336;Режимы работы и эксплуатация основного оборудования электростанций и подстанций;4.15
1337;Методы и теория оптимизации;4.667
1338;Геронтология;2
1339;Основы статистических методов контроля;4.364
1340;Современные проблемы геологии;4.318
1341;Кинетика ядерных реакторов;3.621
1342;Интегрированные прикладные системы;2
1343;Геохимия элементов и процессов;4.545
1344;Основы проектирования технологических процессов;2
1345;Прикладная оптика;3.7
1346;Теплофизика высокотемпературных технологий в машиностроении;3.133
1347;Спецкурс технологии машиностроения;3.649
1348;Технология и оборудование сварки давлением;2
1349;Математическое и программное обеспечение вычислительных машин,комплексов и компьютерных сетей;3.071
1350;Теория теней и перспектив;3
1351;Электротехника 1.4;3.342
1352;Технология природного урана;3.969
1353;Проектирование автоматизированных систем управления;3.8
1354;Релятивистская высокочастотная электроника;4.111
1355;Схемотехника;2
1356;Установившиеся режимы в электроэнергетических системах;4.4
1357;Основы менеджмента. Маркетинг;2
1358;Теория графов;4.808
1359;Физика конденсированных оптических сред;4.647
1360;Защита от ионизирующих излучений;3.857
1361;Искусственный интеллект и нейросетевое управление;2
1362;Администрирование в информационных системах;3.857
1363;Прикладная теория колебаний;3
1364;Теория бухгалтерского учета;3.973
1365;Контроль качества сварки;2
1366;Технологии биоматериалов,материалов приборостроения и оптотехники;2
1367;Программируемые логические схемы;4.438
1368;Правовые основы природопользования и охраны окружающей среды;2
1369;Газотурбинные и парогазовые ТЭС;4.385
1370;Моделирование систем и процессов;3.208
1371;Источники и приемники оптического излучения;4.267
1372;Методы выделения биологически активных веществ из природного сырья;4.563
1373;Ресурсные свойства конструкционных материалов котлов и парогенераторов;4.917
1374;Теория случайных процессов;3.96
1375;Автоматизация технологических комплексов и систем в промышленности;4.038
1376;Надежность теплоэнергетического оборудования ТЭС;4.462
1377;Второй иностранный язык (французский). А1.2;2
1378;Технологическая и противоаварийная автоматика энергосистем;4.3
1379;Основы проектной графики в промышленном дизайне;4.25
1380;Проектирование трактов тепло-и парогенерирующих установок;4.52
1381;Надежность и ресурсоэффективность систем измерений и управления;4.25
1382;Технологические системы ТЭС и АЭС;4.231
1383;Физические основы плазменных технологий;4.222
1384;Технологический проект;3.929
1385;Вероятностные методы в управлении;2
1386;Ценные бумаги и управление портфелем. Часть 2;2
1387;Информационные технологии в технической физике;5
1388;Оборудование биотехнологических предприятий;4.71
1389;Теория эксперимента в исследованиях систем;3.526
1390;Современные технологии автоматизации диспетчерского управления;4.2
1391;Теория сварочных процессов;3.337
1392;Основы обработки медико-биологической информации;4.56
1393;Технологические жидкости для бурения скважин;4.267
1394;Автоматизация и аварийное управление энергосистем;4.333
1395;Инженерно-геологические изыскания;4.235
1396;Компьютерное моделирование электротехнических устройств,комплексов и систем;4
1397;Правовые основы в дизайн-деятельности;4.4
1398;Лингвострановедение;2
1399;Безопасность жизнедеятельности 1.2;4.053
1400;Технико-экономический анализ деятельности предприятий;3.353
1401;Профессиональный иностранный язык (русский);3.556
1402;Математическое моделирование в электромеханике;2.8
1403;Основы инженерных изысканий;2
1404;Автоматизация управления жизненным циклом продукции;2
1405;Обществознание;3.423
1406;Парогенераторы и теплообменники;4.026
1407;Физика защиты;3
1408;Математическое моделирование в АПК;3.286
1409;Экономика машиностроительного производства;2
1410;Приспособления для ремонта и восстановления деталей сельскохозяйственной техники;3.96
1411;Электромеханические переходные процессы;3.898
1412;Современные проблемы экологии и природопользования;4.684
1413;Методы исследования и моделирования информационных процессов и технологий;4.9
1414;Биотехнические системы и технологии;4.786
1415;Делопроизводство;2
1416;Организация международной деятельности в сфере инноваций;4.556
1417;Электрические машины и электропривод;2
1418;Математическое моделирование в системах электроснабжения;3.587
1419;Специальные главы минералогии;2
1420;Документирование в хозяйственной деятельности;2
1421;Математический анализ 3.5;3.453
1422;Теория строения материалов;4.227
1423;Имитационное моделирование;3
1424;Компьютерные технологии при подсчете запасов;2.333
1425;Сбор и подготовка продукции нефтяных и газовых скважин;3.874
1426;Химическая технология биологически активных веществ;4.2
1427;Специальный курс по энергетическим системам;3.538
1428;Система аттестации специалистов и технологий сварочного производства;2
1429;Современные проблемы экономики,организации и управления в области геологоразведочных работ и недропользования;4.818
1430;Микропроцессорная техника;2.667
1431;Гидромеханика в бурении;3.667
1432;Литейное производство;3.727
1433;Тенденции модернизации породоразрушающего инструмента;4.333
1434;Термическая обработка металлов и сплавов;3
1435;Защита интеллектуальной собственности;2
1436;Методы искусственного интеллекта в мехатронике и робототехнике;3.444
1437;Управление комплексной безопасностью;4.733
1438;Английский язык;3
1439;Международное сотрудничество в области охраны окружающей среды;2
1440;Физика 3.3;4
1441;Теория трактора и автомобиля;2
1442;Теория систем автоматического управления;4.3
1443;Источники бесперебойного питания технологических комплексов и систем;3.846
1444;Аппаратные и программные средства обработки аналоговых сигналов (DSP);4.875
1445;Газопламенная обработка металлов и термическая резка;2
1446;Металловедение для сварщиков;2
1447;Электропривод общепромышленных механизмов и технологических комплексов;4.5
1448;Мировоззренческий блок;2
1449;Технология ядерного топлива;3.906
1450;Междисциплинарный проект;3
1451;Механические и физические свойства материалов;4.409
1452;Программные комплексы в разработке месторождений углеводородов;2
1453;Технологические процессы консолидации объемных наноматериалов и производства изделий;2
1454;Специальные методы перекачки углеводородов;4.066
1455;Технологические процессы и режимы работы электростанций;4.7
1456;Отраслевые и интегрированные системы менеджмента качества;4.429
1457;Природоохранные технологии в промышленной теплоэнергетике;4.769
1458;Психофизиология профессиональной деятельности;2
1459;Методология и приборы экспериментальных исследований в машиностроении;3.667
1460;Прецизионные электромеханические системы;5
1461;Основы проектирования;2.667
1462;Инженерное обустройство территории;4.316
1463;Специальная электрометаллургия;4.083
1464;Применение ультразвука в медицине;3.857
1465;Компьютерный практикум: программирование;3.95
1466;Международные информационные ресурсы и стандарты информатизации;4.8
1467;Инженерная геология мерзлотоведение и грунтоведение;5
1468;Автоматизация тепловых процессов;3.561
1469;Основы гидравлики,гидрологии и гидрометрии;4.143
1470;Технология машиностроения;3.522
1471;Технические средства автоматизации и управления;4.867
1472;Рациональная методика прогнозирования,поисков,оценки ресурсов и подсчёта запасов месторождений полезных ископаемых;4.905
1473;Технология силикатных и тугоплавких неметаллических материалов;4.25
1474;Моделирование в электроприводе;4.722
1475;Управление качеством образовательных программ,включая их аккредитацию. Часть 1;5
1476;Административное право;2
1477;Многокомпонентные наноструктурные покрытия со специальными свойствами;2
1478;Специальные методы сварки;2
1479;Основы САПР;4.424
1480;САПР технологических процессов;3.5
1481;Медико-биологические основы действия биологически активных соединений;2.5
1482;Инновации в образовательной деятельности в ВУЗе;4.75
1483;Функциональный анализ;3
1484;Основы землеустройства;2.25
1485;Современные проблемы технической физики;5
1486;Технология наукоемких машиностроительных производств;3.1
1487;Французский язык;4
1488;Машины и оборудование в животноводстве;3.92
1489;Основы проектирования объектов энергосистем;4
1490;Нетрадиционные и возобновляемые источники энергии;2.182
1491;Проектирование Интернет-приложений;4.281
1492;Информационные технологии в нефтегазовой отрасли;4
1493;Современная техника и технологии;2
1494;Экологические проблемы металлургического производства;3.5
1495;Основы кадастра недвижимости. Типология объектов недвижимости;4
1496;Геобиотехнология;4.563
1497;Принципы обеспечения безопасности АЭС;4.448
1498;Экономика ядерной отрасли;2
1499;Автоматика энергосистем;3.667
1500;Современные материалы и технологии в эргономике дизайна;4.25
1501;Английский язык для академических целей,уровень В2;5
1502;Переходные режимы и устойчивость электроэнергетических систем;4.3
1503;Полевая геофизика;3.789
1504;Прогнозирование и геолого-экономическая оценка месторождений полезных ископаемых;2
1505;Научно-исследовательская работа магистра;5
1506;Экономико-математические методы и моделирование;3
1507;Управление персоналом в инновационных процессах в ВУЗе;4.875
1508;Спецглавы химии;2
1509;Надежность электрооборудования систем электроснабжения нефтегазовых предприятий;4
1510;Системы автоматизированного проектирования в сварке;2
1511;Проектирование и эксплуатация оборудования с учетом режимов работы энергоблока;3.769
1512;Качество электроснабжения;4.261
1513;Синергетика для инженеров;2
1514;Информационные технологии в туристской индустрии;2
1515;Информационная инфраструктура предприятия;4.833
1516;Электродинамика сплошных сред;4.111
1517;Теоретические основы энерго- и ресурсосбережения;2
1518;Подсчет запасов и оценка ресурсов нефти и газа;2
1519;Компьютерные технологии в обработке геолого-геохимической информации на месторождениях радиактивного сырья;3.5
1520;Управление режимами электроэнергетических систем на базе силовой электроники;2
1521;Системы качества;4.692
1522;Компьютерные технологии и статистические методы в экологии и природопользовании;4.556
1523;Разливка и кристаллизация стали и сплавов;3
1524;Автоматизация процессов химической технологии, нефтехимии и биотехнологии;4.274
1525;Радиобиологические основы лучевой терапии;4.6
1526;Компьютерные технологии в профессиональном образовании;4.714
1527;Немецкий язык,уровень А1.2;5
1528;Компьютерное моделирование металлургических процессов;2
1529;Математическая статистика;3.314
1530;Компьютерное конструирование;3.333
1531;Наноструктуры,наносистемы,нанотехнологии в металлургии;2
1532;Основы производства цветных металлов;4.083
1533;Оптические измерения;5
1534;Методы исследований в менеджменте;4.818
1535;Информационные системы в экономике и управлении;2
1536;Трудовое право;2
1537;Основы социально-гуманитарных наук;2
1538;Проблемы геоэкологии;4.667
1539;Буровые технологические жидкости;4.073
1540;Технологическая оснастка;2
1541;Современные проблемы в оптотехнике;4.625
1542;Неметаллические материалы;2
1543;Кинетика и регулирование ядерного ректора;4.571
1544;Основы технологии производства;2
1545;Начертательная геометрия. Инженерная графика;4
1546;Геофизические методы поисков и разведки месторождений полезных ископаемых;3.622
1547;Методы статистической обработки в научных исследованиях;2
1548;Обработка металлов давлением;2
1549;Управленческий учет и аудит;4.415
1550;Нейроэволюционные вычисления;4.808
1551;Введение в магистерскую программу;2
1552;Методы неразрушающего контроля;3.673
1553;Детали мехатронных модулей,роботов и их конструирование;4.158
1554;Введение в экономическую теорию;2
1555;Моделирование и оптимизация свойств материалов и технологических процессов;2
1556;Химическая технология топлива и высокоэнергетических веществ;4.333
1557;Математическое моделирование в медицине,биологии;4.2
1558;Основы теории эксперимента;4.538
1559;Регламентация и нормирование труда;2
1560;Физика атомного ядра и элементарных частиц;5
1561;Землеустроительное проектирование;4.471
1562;Термическая и химико-термическая обработка металлов;4.182
1563;Гидродинамические исследования скважин;4.4
1564;Безопасность технологических процессов при транспорте нефти и газа;4.382
1565;Автоматизированные системы кадастра недвижимости и проектирование в землеустройстве;4.118
1566;Компьютерное моделирование материалов и технологий;4.8
1567;Геологическое и гидродинамическое моделирование нефтяных и газовых месторождений;4.45
1568;Управление антропогенным воздействием на окружающую среду;3.933
1569;Основы маркетинга и менеджмента на предприятиях медико-технического профиля;4.538
1570;Проектная деятельность;2
1571;Методы и технологии повышения производительности скважин;4.183
1572;Методы решения инженерных задач;2
1573;Компьютерные технологии в медико-биологических исследованиях;4.667
1574;Методы интенсификации добычи нефти и газа;4
1575;Управление ядерной паропроизводящей установкой;4.885
1576;Аудит качества;4.625
1577;Нефтегазоносные провинции России;5
1578;Геология и разработка нефтяных и газовых месторождений;4.611
1579;Потенциал энергосбережения и его реализация в различных секторах экономики;2
1580;Экспериментальные методы ядерной физики;5
1581;Геофизика,геофизические методы поисков полезных ископаемых;5
1582;Управление инновационными процессами и проектами;4.471
1583;Управление экологическими рисками;4.786
1584;Методы измерения ядерных материалов и полей ионизирующих излучений;4.447
1585;Методы гидродинамического контроля за разработкой нефтяных и газовых месторождений;4.635
1586;Гидродинамические исследования пластов и скважин;3.522
1587;Проектирование светотехнических установок;3.944
1588;Диагностика изоляции;4.467
1589;Современное кабельное производство;3.625
1590;Основы проектирования и оборудование цехов;3.375
1591;Проектирование и производство инструментов;4.289
1592;Тепломассообменное оборудование предприятий;3.412
1593;Технологии добычи нефти и газа в осложнённых условиях;4.568
1594;Элементы систем автоматики;3.571
1595;Техническая термодинамика и теплотехника;3
1596;Иностранный язык техники и технологий;2
1597;Эксплуатация АЭС;3.966
1598;Возобновляемая энергетика в системах электроснабжения;3.731
1599;Информационные системы в мехатронике и робототехнике;5
1600;Художественная лепка;4
1601;Математическое обеспечение средств измерения и контроля;4.607
1602;Правовые основы нераспрострастранения ядерных материалов;4.737
1603;Учебно-исследовательская практика;2
1604;Тепломассообмен в ядерных реакторах;3.857
1605;Экономика ядерной энергетики;3
1606;Теоретические основы процессов тепломассопереноса;2
1607;Автоматизированное проектирование электронных устройств;4
1608;Технология органических веществ;3.909
1609;Расчет и конструирование машин и оборудования нефтяных и газовых промыслов;4.5
1610;Электроника 2.2;3.95
1611;Технологические основы обустройства нефтегазовых месторождений;2
1612;Управление энергетическим состоянием продуктивных пластов;4.162
1613;Реинжиниринг бизнес-процессов;4.12
1614;Проектирование и эксплуатация систем отопления,вентиляции и кондиционирования;3.132
1615;Интерактивный предметный дизайн;5
1616;Наука,технология и общество;5
1617;Методы гидрогеологических исследований;3
1618;Технологическое проектирование процессов переработки природных энергоносителей;4.389
1619;Системы автоматизированного проектирования и производства;5
1620;Специальные темы технологии машиностроения;5
1621;Курс по английскому языку (C1): проблемы науки и техники;5
1622;Физико-технические основы возобновляемой энергетики;3.462
1623;Электрические станции и электроэнергетические системы;4.7
1624;Методы и средства изучения кинетических явлений;4.676
1625;Правовое регулирование и охрана результатов интеллектуальной деятельности;2
1626;Теория графов и ее применение в проектировании сложных систем;2.5
1627;Исследования напряженно-деформированного состояния трубопроводов;2
1628;Мониторинг оборудования трубопроводного транспорта;4.585
1629;Прочность оборудования газонефтепроводов и хранилищ;4.549
1630;Средства и методы управления качеством;4.422
1631;Конструирование электронных медицинских приборов и аппаратов;5
1632;Акустический контроль и диагностика;4.714
1633;Технология редких элементов;2.5
1634;Современные представления о нефтяных дисперсных системах;4.512
1635;Автоматизированные системы управления ядерными энергетическими установками;3.86
1636;Основы токсикологии;2
1637;Методы оценки условий труда;4.929
1638;Реинжиниринг и аудит прикладных информационных систем и процессов;4.8
1639;Современные технологии в микроэлектронике;4.423
1640;Контроль качества и испытания газонефтепроводов и хранилищ;2
1641;Теория автоматов;3.292
1642;Порошковая металлургия и композиционные материалы;4.667
1643;Интеллектуальные системы электроснабжения с возобновляемыми энергоисточниками;3.731
1644;Технологическое проектирование и типовое оборудование процессов переработки природных энергоносителей;4.909
1645;Преобразование сигналов в физических установках;3.905
1646;Геохимия топливно-энергетического комплекса;4.722
1647;Финансовый отраслевой учет;4.185
1648;Микропроцессорные средства в электроприводе;2
1649;Автоматизация проектирования систем трубопроводного транспорта;4.341
1650;Ядерно-физические и электронно-микроскопические методы исследования вещества;4.944
1651;Инновационные мультимедиа технологии;5
1652;Системный анализ,управление и обработка информации (промышленность,информационные технологии);5
1653;Планирование деловой карьеры;2
1654;Радиационный контроль и диагностика;4.786
1655;Физические методы исследования минералов;4.5
1656;Оборудование для производства и переработки полимерных материалов;4.625
1657;Основы кристаллографии,минералогии и петрографии;2.5
1658;Математическое моделирование электрических и электронных аппаратов;2
1659;Эксплуатация и наладка котельных установок;4.091
1660;Теория и практика управления процессами нефтегазодобычи;4.649
1661;Разработка программных приложений;4.261
1662;Силовые кабели и кабельные линии;2.875
1663;Нейронные сети;4.615
1664;Локальные системы управления;2.25
1665;Испытания и техническая диагностика электрических машин и аппаратов;4.667
1666;Экология горно-добычного и перерабатывающего комплексов;2
1667;Разработка и эксплуатация нефтяных и газовых месторождений;4.64
1668;Коммерциализация и венчурное финансирование;4.656
1669;Экономика 2.5;4.358
1670;Технические средства робототехнических и мехатронных систем;3.652
1671;Диагностика и надежность автоматизированных систем;3.824
1672;Конструирование программного обеспечения;4.957
1673;Анализ финансово-хозяйственной деятельности предприятий нефтяной и газовой промышленности;5
1674;Информационные технологии в металлургии;4.077
1675;Экспериментальные методы исследования полимеризации и структуры полимеров;4.375
1676;Плазменные и пучковые технологии в водородной энергетике;3.615
1677;Инженерное проектирование электрических машин;4.667
1678;Математические основы теории управления;4
1679;Интегрированные компьютерные системы управления;4.667
1680;Монтаж и эксплуатация бурового оборудования;4.242
1681;Основы производственной подготовки;3.813
1682;Социальная философия;4.25
1683;Проектирование систем управления;4.516
1684;Ионообменные технологии;4.571
1685;Введение в химмотологию;4.462
1686;Проектирование программных приложений;3.571
1687;Цифровая обработка сигналов и изображений;3.667
1688;Электрические аппараты систем энергетики;2
1689;Бесконтактные электрические аппараты систем автоматики;2
1690;Трудовая миграция населения;2
1691;Теория автоматического управления 1;3.532
1692;Системы интерпретации данных аэрокосмического мониторинга Земли;4.455
1693;Учение о геосферных оболочках;4.615
1694;Автоматизированные системы физической защиты,учета и контроля ядерных материалов;5
1695;Проектирование оптико-электронных приборов;3.909
1696;Вакуумная,плазменная и твердотельная электроника;4.292
1697;Управление профессиональными и аварийными рисками;4.893
1698;Физико-химические основы технологии керамики и огнеупоров;4.5
1699;Технология и переработка полимеров;4.75
1700;Переходные процессы в системах электроснабжения;3.35
1701;Математическое моделирование в машиностроении;2
1702;Математическое моделирование процессов сварки,пайки и наплавки;2.25
1703;Методы и системы защиты информации,информационная безопасность;5
1704;Перенапряжения и координация изоляции;4.267
1705;Расчет и конструирование световых приборов;3.889
1706;Физический расчет ядерного реактора;5
1707;Трибология и трибодиагностика;4.786
1708;Электромагнитный,радиоволновой,тепловой контроль и диагностика;4.571
1709;Профессиональная подготовка на французском языке;2
1710;Трехмерное проектирование 1;5
1711;Материалы ядерных установок;5
1712;Введение в охрану труда;2
1713;Администрирование в телекоммуникационных системах;4.6
1714;Светотехника;3.667
1715;Газофазные методы разделения изотопов;4.235
1716;Информационные технологии в планировании и организации производства на предприятии;4.067
1717;Маркетинг и международная торговля в нефтегазовой отрасли;4.156
1718;Геологическая интерпретация геофизических и сейсмических данных;2
1719;Рациональный комплекс поисково-разведочных работ на нефть и газ;4.408
1720;Командный проект Разработка базовых решений для проекта строительства АЭС;5
1721;Горное право;2
1722;Дизайн в сфере развлечений;5
1723;Проектирование интеллектуальных геоинформационных систем;4.65
1724;Ресурсоэффективность фармацевтических производств и прикладные аспекты биофармации;4.125
1725;Перспективные материалы,изделия и технологии в электроизоляционной и кабельной технике;2
1726;Элементы и устройства вычислительной техники и систем управления;3.75
1727;Методы и средства управления режимами на базе силовой полупроводниковой техники;3.9
1728;Cloud-вычисления;4.688
1729;Специальные главы физической химии тугоплавких неметаллических и силикатных материалов;4.417
1730;Экономика,организация и основы технологии сельскохозяйственного производства;2
1731;Многомерные статистические методы;3.409
1732;Химические топлива;4
1733;Системный анализ,управление и обработка информации в аналитической экономике;4.8
1734;Методы функционального анализа в моделировании сложных систем;2
1735;Специальные кабельные изделия;3.25
1736;Поведение материалов в сильных полях;4.222
1737;Экономический анализ и анализ финансовой отчетности;4.071
1738;Технология производства электрических машин и аппаратов;4.222
1739;Программное обеспечение измерительных процессов;4.417
1740;Металлообрабатывающие станки;3.087
1741;Дифференциальные уравнения в экономике;2
1742;Вычислительная физика (практикум на ЭВМ);4.362
1743;Изоляция электрических машин и аппаратов;2.75
1744;Практикум по учету и анализу;3.531
1745;Специальные главы петрографии;2.571
1746;Экономика 2.7;4.714
1747;Мультиагентные интеллектуальные системы в инфокоммуникациях;3.75
1748;Методология выбора материалов в машиностроении;4.889
1749;Нормативно-правовые и организационные основы энергосбережения;4.231
1750;Автоматизация и управление технологическими процессами и производствами (атомная промышленность);3.286
1751;Основы в обработке материалов и логистика;4
1752;Программно-технические комплексы для контроля режимов и управления электроэнергетическими системами;4.9
1753;Основы нефтегазового производства;2
1754;Надежность и эксплуатационные режимы ТЭС;4.357
1755;Проектирование микропроцессорных средств измерений;4.286
1756;Анализ банков данных;4
1757;Компьютерные технологии решения задач электроснабжения с возобновляемыми источниками энергии;3.308
1758;Методы финансовой математики;5
1759;Методы исследования природных сред;4.667
1760;Основы геофизики;2
1761;Инновационный менеджмент в землеустройстве;2
1762;Системы автоматизированного проектирования;2.125
1763;Приборы ориентации и навигации;3.828
1764;Проектирование теплоэнергетических систем и установок;3.714
1765;Вибродиагностика нефтегазового оборудования;4.643
1766;Оборудование химических и нефтегазоперерабатывающих производств;5
1767;Прикладная экономика в управлении;3.276
1768;Прикладная физика и химия плазмы;5
1769;Технология минеральных удобрений,солей,щелочей;4.818
1770;Технология разработки пользовательских интерфейсов;4
1771;Перспективные технологии разделения изотопов и тонкой очистки веществ;4.706
1772;Надежность технических систем и техногенный риск;4
1773;Характеристики электрооборудования электростанций и подстанций;4.5
1774;Экономика управления персонала. Рынок труда;2
1775;Надлежащий производственный и лабораторный контроль процессов получения лекарственных средств;4.143
1776;Системы сетевого сопровождения и поддержки инфокоммуникационных сервисов;4.375
1777;Методы распознавания образов;4.25
1778;Применение плазмы и пучков в атомной и космической промышленности;4.308
1779;Системы автоматизации экспериментов на термоядерных установках;2
1780;Физическая теория ядерных реакторов;4.649
1781;Исследование операций и методы оптимизации;3.889
1782;Научные основы органического синтеза;4.417
1783;Экспериментальные и теоретические методы в тонком органическом синтезе;5
1784;Технология тонкой и строительной керамики;4.083
1785;Архитектура природных резервуаров;4.786
1786;Нефтегазоносные провинции России и зарубежных стран;4.346
1787;Перенос и распространение радиоактивных веществ;5
1788;Моделирование комплексных систем;4.143
1789;Финансовый менеджмент;3.72
1790;Экспериментальные методы исследования структуры органических веществ;3.462
1791;Системы и источники энергоснабжения;3.286
1792;Машины и оборудование для бурения нефтяных и газовых скважин на суше (на море);4.714
